timestamp,persona,temperature,top_p,model,scenario,success,turns,tool_calls
2025-10-25T18:01:05.407043,friendly_advisor,0.2,1.0,gpt-4o,freshness,True,1,0
2025-10-25T18:01:07.371949,friendly_advisor,0.2,1.0,gpt-4o,custom_cake,True,1,0
2025-10-25T18:01:10.673698,friendly_advisor,0.2,1.0,gpt-4o,unknown_question,True,2,1
2025-10-25T18:01:13.657944,friendly_advisor,0.2,1.0,gpt-4o,preorder,True,1,0
2025-10-25T18:01:18.178631,friendly_advisor,0.7,1.0,gpt-4o,freshness,True,1,0
2025-10-25T18:01:21.588736,friendly_advisor,0.7,1.0,gpt-4o,custom_cake,True,1,0
2025-10-25T18:01:24.775868,friendly_advisor,0.7,1.0,gpt-4o,unknown_question,True,2,1
2025-10-25T18:01:27.533973,friendly_advisor,0.7,1.0,gpt-4o,preorder,True,1,0
2025-10-25T18:01:30.999731,friendly_advisor,1.0,1.0,gpt-4o,freshness,True,1,0
2025-10-25T18:01:32.874562,friendly_advisor,1.0,1.0,gpt-4o,custom_cake,True,1,0
2025-10-25T18:01:35.416536,friendly_advisor,1.0,1.0,gpt-4o,unknown_question,True,2,1
2025-10-25T18:01:37.771436,friendly_advisor,1.0,1.0,gpt-4o,preorder,True,1,0
2025-10-25T18:01:40.994538,strict_expert,0.2,1.0,gpt-4o,freshness,True,2,1
2025-10-25T18:01:42.218353,strict_expert,0.2,1.0,gpt-4o,custom_cake,True,1,0
2025-10-25T18:01:46.040388,strict_expert,0.2,1.0,gpt-4o,unknown_question,True,2,1
2025-10-25T18:01:52.143047,strict_expert,0.2,1.0,gpt-4o,preorder,True,1,0
2025-10-25T18:01:58.349980,strict_expert,0.7,1.0,gpt-4o,freshness,True,1,0
2025-10-25T18:02:00.407841,strict_expert,0.7,1.0,gpt-4o,custom_cake,True,1,0
2025-10-25T18:02:10.230020,strict_expert,0.7,1.0,gpt-4o,unknown_question,True,2,1
2025-10-25T18:02:16.782139,strict_expert,0.7,1.0,gpt-4o,preorder,True,1,0
2025-10-25T18:02:23.234856,friendly_advisor,0.7,0.9,gpt-4o,freshness,True,1,0
2025-10-25T18:02:27.438913,friendly_advisor,0.7,0.9,gpt-4o,custom_cake,True,1,0
2025-10-25T18:02:35.523641,friendly_advisor,0.7,0.9,gpt-4o,unknown_question,True,2,1
2025-10-25T18:02:41.858735,friendly_advisor,0.7,0.9,gpt-4o,preorder,True,1,0
